[﻿༄༅༔ ཀུན་ཏུ་བཟང་པོའི་_40_],﻿༄༅༔ ཀུན་ཏུ་བཟང་པོའི་_40_,﻿༄༅༔ ༔_20_,﻿༄༅        ༔_20_,﻿༄༅༔ དཔལ་ཀུན་ཏུ་བཟང་པོའི་_20_
[ཡངས་_100_],ཡངས་_100_,ཡངས་_100_,ཡངས་_100_,ཡངས་_100_
[བརྗོད་_100_],བརྗོད་_100_,བརྗོད་_100_,བརྗོད་_100_,བརྗོད་_100_
[དུ་_100_],དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_
[མེད_100_],མེད_100_,མེད_100_,མེད_100_,མེད_100_
[༔_100_],༔_100_,༔_100_,༔_100_,༔_100_
[འཁོར་_100_],འཁོར་_100_,འཁོར་_100_,འཁོར་_100_,འཁོར་_100_
[འདས་_100_],འདས་_100_,འདས་_100_,འདས་_100_,འདས་_100_
[གཉིས་_100_],གཉིས་_100_,གཉིས་_100_,གཉིས་_100_,གཉིས་_100_
[ཀའི་_100_],ཀའི་_100_,ཀའི་_100_,ཀའི་_100_,ཀའི་_100_
མིད་མདེ་_40_,མིད་མདེ་_40_,[མིང་མེད་_60_],མིང་མེད་_60_,མིང་མེད་_60_
[དོ_100_],དོ_100_,དོ_100_,དོ_100_,དོ_100_
[༔_100_],༔_100_,༔_100_,༔_100_,༔_100_
[དེ་_100_],དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_
[ཉིད་_100_],ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_
[རིག་_100_],རིག་_100_,རིག་_100_,རིག་_100_,རིག་_100_
[ན་_100_],ན་_100_,ན་_100_,ན་_100_,ན་_100_
[སངས་_100_],སངས་_100_,སངས་_100_,སངས་_100_,སངས་_100_
[རྒྱས་_100_],རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_
[ཏེ_100_],ཏེ_100_,ཏེ_100_,ཏེ_100_,ཏེ_100_
[༔_100_],༔_100_,༔_100_,༔_100_,༔_100_
[མ་_100_],མ་_100_,མ་_100_,མ་_100_,མ་_100_
[རིག་_100_],རིག་_100_,རིག་_100_,རིག་_100_,རིག་_100_
[སེམས་_100_],སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_
[ཅན་_100_],ཅན་_100_,ཅན་_100_,ཅན་_100_,ཅན་_100_
[འཁོར་_100_],འཁོར་_100_,འཁོར་_100_,འཁོར་_100_,འཁོར་_100_
[བར་_100_],བར་_100_,བར་_100_,བར་_100_,བར་_100_
[འཁྱམས_100_],འཁྱམས_100_,འཁྱམས_100_,འཁྱམས_100_,འཁྱམས_100_
[༔_100_],༔_100_,༔_100_,༔_100_,༔_100_
[ཁམས་_100_],ཁམས་_100_,ཁམས་_100_,ཁམས་_100_,ཁམས་_100_
[གསུམ་_100_],གསུམ་_100_,གསུམ་_100_,གསུམ་_100_,གསུམ་_100_
[སེམས་_100_],སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_
[ཅན་_100_],ཅན་_100_,ཅན་_100_,ཅན་_100_,ཅན་_100_
[ཐམས་_100_],ཐམས་_100_,ཐམས་_100_,ཐམས་_100_,ཐམས་_100_
[ཅད་_100_],ཅད་_100_,ཅད་_100_,ཅད་_100_,ཅད་_100_
ཀུན_40_,ཀུན_40_,[ཀྱིས_60_],ཀྱིས_60_,ཀྱིས_60_
[༔_100_],༔_100_,༔_100_,༔_100_,༔_100_
[བརྗོད་_100_],བརྗོད་_100_,བརྗོད་_100_,བརྗོད་_100_,བརྗོད་_100_
[མེད་_100_],མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_
[གཞི་_100_],གཞི་_100_,གཞི་_100_,གཞི་_100_,གཞི་_100_
[དོན་_100_],དོན་_100_,དོན་_100_,དོན་_100_,དོན་_100_
[རིག་_100_],རིག་_100_,རིག་_100_,རིག་_100_,རིག་_100_
[པར་_100_],པར་_100_,པར་_100_,པར་_100_,པར་_100_
[ཤོག_100_],ཤོག_100_,ཤོག_100_,ཤོག_100_,ཤོག_100_
[༔_100_],༔_100_,༔_100_,༔_100_,༔_100_
[ཀུན་_100_],ཀུན་_100_,ཀུན་_100_,ཀུན་_100_,ཀུན་_100_
[ཏུ་_100_],ཏུ་_100_,ཏུ་_100_,ཏུ་_100_,ཏུ་_100_
[བཟང་_100_],བཟང་_100_,བཟང་_100_,བཟང་_100_,བཟང་_100_
[པོ་_100_],པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_
[ང་_100_],ང་_100_,ང་_100_,ང་_100_,ང་_100_
ཉིད་_40_,ཉིད་_40_,[ཡིས་_60_],ཡིས་_60_,ཡིས་_60_
[ཀྱང་_100_],ཀྱང་_100_,ཀྱང་_100_,ཀྱང་_100_,ཀྱང་_100_
[༔_100_],༔_100_,༔_100_,༔_100_,༔_100_
[རྒྱུ་_100_],རྒྱུ་_100_,རྒྱུ་_100_,རྒྱུ་_100_,རྒྱུ་_100_
[རྐྱེན་_100_],རྐྱེན་_100_,རྐྱེན་_100_,རྐྱེན་_100_,རྐྱེན་_100_
[མེད་_100_],མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_
[གཞི་_100_],གཞི་_100_,གཞི་_100_,གཞི་_100_,གཞི་_100_
[ཡི་_100_],ཡི་_100_,ཡི་_100_,ཡི་_100_,ཡི་_100_
[དོན_100_],དོན_100_,དོན_100_,དོན_100_,དོན_100_
[༔_100_],༔_100_,༔_100_,༔_100_,༔_100_
[དེ་_100_],དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_
[ཉིད་_100_],ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_
[གཞི་_100_],གཞི་_100_,གཞི་_100_,གཞི་_100_,གཞི་_100_
[ལ་_80_],ལ་_80_,ལ་_80_,ལ་_80_,ལས་_20_
[རང་_100_],རང་_100_,རང་_100_,རང་_100_,རང་_100_
[བྱུང་_100_],བྱུང་_100_,བྱུང་_100_,བྱུང་_100_,བྱུང་_100_
[རིག_100_],རིག_100_,རིག_100_,རིག_100_,རིག_100_
[༔_100_],༔_100_,༔_100_,༔_100_,༔_100_
[ཕྱི་_100_],ཕྱི་_100_,ཕྱི་_100_,ཕྱི་_100_,ཕྱི་_100_
[ནང་_100_],ནང་_100_,ནང་_100_,ནང་_100_,ནང་_100_
[སྒྲོ་_100_],སྒྲོ་_100_,སྒྲོ་_100_,སྒྲོ་_100_,སྒྲོ་_100_
[སྐུར་_100_],སྐུར་_100_,སྐུར་_100_,སྐུར་_100_,སྐུར་_100_
[སྐྱོན་_100_],སྐྱོན་_100_,སྐྱོན་_100_,སྐྱོན་_100_,སྐྱོན་_100_
[མ་_100_],མ་_100_,མ་_100_,མ་_100_,མ་_100_
[བཏགས_100_],བཏགས_100_,བཏགས_100_,བཏགས_100_,བཏགས_100_
[༔_100_],༔_100_,༔_100_,༔_100_,༔_100_
[དྲན་_100_],དྲན་_100_,དྲན་_100_,དྲན་_100_,དྲན་_100_
[མེད་_100_],མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_
[མུན་_100_],མུན་_100_,མུན་_100_,མུན་_100_,མུན་_100_
[པའི་_100_],པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_
[དྲིས་_40_],དྲིས་_40_,སྒྲིབ་_40_,སྒྲིབ་_40_,དྲི་_20_
[མ་_100_],མ་_100_,མ་_100_,མ་_100_,མ་_100_
[གོས_80_],གོས_80_,གོས_80_,གོས_80_,མེད_20_
[༔_100_],༔_100_,༔_100_,༔_100_,༔_100_
[དེ་_100_],དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_
[ཕྱིར་_100_],ཕྱིར་_100_,ཕྱིར་_100_,ཕྱིར་_100_,ཕྱིར་_100_
[རང་_100_],རང་_100_,རང་_100_,རང་_100_,རང་_100_
[སྣང་_100_],སྣང་_100_,སྣང་_100_,སྣང་_100_,སྣང་_100_
[སྐྱོན་_100_],སྐྱོན་_100_,སྐྱོན་_100_,སྐྱོན་_100_,སྐྱོན་_100_
[མ་_100_],མ་_100_,མ་_100_,མ་_100_,མ་_100_
[གོས_100_],གོས_100_,གོས_100_,གོས_100_,གོས_100_
[༔_100_],༔_100_,༔_100_,༔_100_,༔_100_
[རང་_100_],རང་_100_,རང་_100_,རང་_100_,རང་_100_
[རིག་_100_],རིག་_100_,རིག་_100_,རིག་_100_,རིག་_100_
[སོ་_100_],སོ་_100_,སོ་_100_,སོ་_100_,སོ་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
[གནས་_100_],གནས་_100_,གནས་_100_,གནས་_100_,གནས་_100_
